page,text
12,"| Srimad Bhagavadgita holds an incomparable and unique
position in world literature. It recalls the divine voice of Lord
Krsna, through which many of His mysteries and inner secrets
are revealed. In communicating these for the benefit of mankind,
the Lord has invoked Arjuna, as an interlocutor or questioner.
The small book, full of the Lord’s extraordinary thoughts and
views from the very heart, was never excelled in the past, nor
would ever be, in the future. .
Our revered Param Shraddheya Shri Swami
Ramsukhdasji has delved deep into the bottomless depths
| of this profound scripture and extracted invaluable gems,
which in his magnanimity, he has through his commentary
in Hindi, called 'Sadhaka Safijivani offered for the. benefit
and spiritual advancement of aspirants. It is obvious that
. this commentary. is singularly different and ‘distinctive, in
many respects, from other publications. Though we claim
no far-reaching study of other critiques and annotations,
yet we are struck by new interpretations, new meanings
and new revelations in this commentary, arising from many
verses, such as; Chapter one—Verses: ten, nineteen, twenty
‘and twenty-five; Chapter two—Verses: thirty-nine and forty;
Chapter three—Verses: three, ten, twelve, thirteen and forty-
three; Chapter four—eighteen and thirty-eight; Chapter five—
Verses: thirteen and fourteen; Chapter six—Verses: twenty
and thirty-eight; Chapter seven—Verses: five and nineteen:
. Chapter eight —Verse: six; Chapter nine—Verses: three and
thirty-one: Chapter ten—Verse: forty-one; Chapter eleven—
Verses: twenty-six, twenty-seven, forty-five and forty-six;
Chapter twelve—Verse: twelve; Chapter thirteen—Verses:
one, nineteen, twenty and twenty-one; Chapter fourteen—
Verses: three, twelve, seventeen and twenty-two; Chapter
"
13,"IV . SRIMADBHAGAVADGITA

fifteen—Verses: seven and eleven; Chapter sixteen—Verses: five
and twenty; Chapter seventeen—Verses: seven and ten; Chapter
eighteen—Verses: thirty-seven and seventy-three, etc.

We are confident that with an in-depth study of the
commentary, aspirants would discover many different facets
and resolutions, from these and other verses, for their better
understanding and help in forging ahead with their Sadhana.

In the present times, unfortunately, there is a dearth of books,
which would in simple language and with lucidity, explain and
delineate the correct path and milestones of an aspirant's progress,
and this void often results in their predicament. Therefore, the
publication of a detailed commentary, in plain words and simple
style with clarity and offering elucidation and explanation, such
as this work, is at once a most welcome and important step. -

Swamiji Maharaj's commentary is apparently, neither intended
to promote a new or particular philosophical viewpoint, nor in
the least, a means to display learning; but that it should and
would act as a life-giving boon, like the Safijivant herb, for all
aspirants, no matter which creed, faith, religion, or language
or place, they belong to. The Buddhist, Jain, Parsi, Muslim,
Christian and others etc; in studying this book, would discover

| in it, a basis for their advancement, in accordance with and

| supportive of the tenets of their individual faiths or religions and
they would find enough material in this book, to help achieve
their spiritual goals. |

To gain spiritual bliss, we humbly urge aspirants to study
the commentary deeply and sincerely, understand the writing
and endeavour to put into practise the contents, for their own
forward progress in the world.

Gorakhpur Publisher

Sri Gita Jayanti (1988) |
"
14,"Srimad Bhagavadgita-Sadhaka Saiijivani—with commentary
by Param Shraddheya Shri Ramsukhdasji Maharaj in its English
version has, on all hands, been an outstanding and much
appreciated exposition of the divine and immortal work. It has
been reprinted before and is now ready for another printing.
Time was, therefore, opportune for a revision of this masterly
analytical and exhaustive commentary, so that, if necessary, clarify
and amplify comments in order to enhance its understanding and
gainful usefulness. |

The result may be called a revision or a mere new work.
It is a revision, in as much it retains the basic concept, approach
and arguments of the first edition. What is new, however, is
the elucidation and precise explanation of some comments
in English, in order to eliminate any possible ambiguity or loss
of clarity. It is in this light that changes made must be read.
The amendments are unpretentious, and are intended to make
reading easy.

The book is, at the same time, somewhat new, in as much
as, an opportunity has been taken, importantly, to include—with
the approval of the author, Param Shraddheya Shn Ramsukhdasji
Maharaj—two additional and valuable appendices at the end of
the commentary on the Gita. The first Appendix entitled, ""A
bird's eyeview of the Gita"", is a summarised essence of the
scripture, highlighting its core and offering a capsulised version
for quick comprehension and ready reference. The second
Appendix, covers the traditional and other suggested ""Methods
of Recitation of the Gita"", to help devotees to seek and achieve
spiritual benefit of worship, through the Gita. Both these
sections were authored by Param Shraddheya Shri Ramsukhdasji
"
15,"VI SRIMADBHAGAVADGITA

Maharaj and originally mcluded in his monumental and celebrated
book, ""The Gita Darpana—The Gita A Mirror"", and published
by the Gita Press.

The Publishers are confident that the changes effected, would
make this revised edition of the Bhagavadgita-Sadhaka Saijivani
of greater interest to the English readers and would be acclaimed
by them. This edition makes it still more comprehensive, more
meaningful and beneficial, for aspirants of spiritual elevation, as
to students of the Gita, as well as to the perspicacious members
of different creeds and faiths, idealogies and religions interested

: in this unique and secular publication—-The words of God.

May, the publishers urge the readers to study this revised
edition of the Gita, with deep profundity and put into creative
practice, the knowledge gained, with a view to their advancement
in the world.

—Publisher
"
16,", FOREWORD |
avitet det waft witet dest a Hor
Mere MieyraIt BT welt Ute a saz
Huatat ST Maayan ares ert gros a
Sater MAT HSA POT tar wT FATT
alfa et ubafaraen catia vite rarer *
vamsidharam tottradharam namami
manoharam mohaharam ca | krsnam
maladharam dharmadhurandharam ca
parthasya  sarathyakaram ca  devam
karttavyadiksam ca samatvasiksam
Jnanasya  bhiksam Saranagatim ca-
dadati gita karunardrabhuta
krsnena gita jagato hitaya
sanjivani sadhakajivaniyam
praptim harervai — saralam i braviti__
karoti duram ‘(pathivighnabadha
dadati Sighram paramatmasiddhim
* I bow down to Krsna the Divine, the flute-holder, holder of the reins, the
usurper of hearts and infatuation, the wearer of garlands, the holder of the Axis
of Dharma and the Charioteer of Aquna.
Sung by Lord Krsna, the Gita—drenched in ambrosial compassion—is
the provider of initiation into duty, lessons of equanimity, alms of enlightenment |
and surrender and is for the welfare of mankind.
Bestower of the gift of life, this Sidhaka Safijivani tells in simple terms the
art of realizing Hari. It also removes the obstacles in the path and quickly gives _—__-
the supreme accomplishment of God-realization.
"
17,"Vill _ SRIMADBHAGAVADGITA |
By meditating and contemplating on the Gita and by preparing
this commentary, I have been very much spiritually benefited; I
also have a clear understanding of the subject matter of the Gita.
It is my firm conviction that if our brothers and sisters reflect on
it, they will also receive spiritual benediction. I do not have even
an iota of doubt about it, that by meditating and contemplating
on the Gita, great benefits would accrue to them. :
@damtiarmkaticen watts |
: PeaMo4yl aeadre fasta Aosttart agar lt
krsnanugrahadayika sakaruna gita samaradhita
karmajiianaviragabhaktirasika marmarthasandarsika
sotkantham kila sadhakairanudinam pepiyamana sada
kalyanam paradevateva diSsatisanijivani varddhatam*
| Swami Ramasukhadasa
REA
‘of compassion, the knower of the truth of Karma (action), Jana (knowledge), viraga
(renunciation) and Bhakti (devotion), reflecting the shower of subtle and deep meanings
| be, sought and enjoyed with enthusiasm, by seekers, and the grantor of Kalyana, the
: Supreme Lord, may this Sadhaka Safijivant continually promote and perpetuate spiritual
benefits in a seeker’s life. : oo,
"
18,"| _ SADHAKA-SANJIVANI XI

The word 'Yoga' of the Gita is pregnant with many wondrous
meaning. We can place these under three heads: |

(i) Derived from the root ""Yujir Yoge’ (af a1) the word
‘yoga’ has the implied meaning—eternal kinship with equanimous
(aqeq) God; as in 'Samatvath yoga ucyate' (2.48) etc. This
meaning has importance in thé Gita. |

(ii) Originating from the root ""Yuj Samadhau', the word ‘yoga’,
implies—stability of citta i.e., a state of trance during meditation;

| as in 'Yatroparamate cittarh niruddharh yogasevaya’ (6.20) etc.

(iii) Deduced from the root ""Yuj Sarhyamane’, the word ‘yoga’
means—controling power, divine prowess, magnetic impact; as
in 'Pasya me yogamaiswaram' (9.5) etc.

Wherever the word 'Yoga’ has appeared 1n the Gita, it has
in it the primacy of one of the aforesaid three meanings, the
other two meanings having a secondary place only. As in the
word ‘yoga’ derived from ‘yujir yoge’, there 1s the predominance
of the meaning of equanimity, though on realization of
equanimity, meditational stability and divine prowess* also accrue
automatically. In the word ‘yoga’ from ""Yuj samadhau', there is
the supermacy of transcendental stability, but on achievement of
this state, equanimity and prowess follow, automatically. In the
word ‘yoga’ from ""Yuj Sarhyamane’, there is the dominance of
divine prowess and majesty, but on realization of this prowess,
equanimity and stability also, follow suit on their own. Thus the
word ‘yoga’ of the Gita has very pervasive and profound meanings.
universe which belongs only to God—that power the Yogi does ‘not acquire—Jagadvyap
aravarjam (Brahmasiitra 4.4.17). The power which a Yogi gains, enables him to conquer
nature (Gitd 5.19), meaning that no amount of favourable or unfavourable circumstances,
can in anyway affect him.
"
19,"XIV SRIMADBHAGAVADGITA

In the YogadarSana of Sage Patanjah, the word ‘yoga’ is the
name given to the control of cittavrttis (mental tendencies and
mind-stuff) from taking various forms—'Y ogascittavrttinirodhah’'
(1.2) and the effect of that yoga has been pointed out, as the
lodgement of drasta (the witness) in one’s own self: ""Tada
Drastuh svarupe'vasthanam’ (1.3). In this way, the very result
of Yoga as depicted in the Yoga-DarSsana of Patafijali has been
given the name ‘yoga’ in the Gita (2.48; 6.23). The implication
is, that the self-proved natural state of equanimity totally cut
off from the cittavrttis, is called 'yoga’ by the Gita. On realizing
lodgement in equanimity, (eternal unison—Nityayoga), there is
never a disunion or deviation from it. There is a desireless
transcendental state, (nirvikalpa avasthd) when there is control
over mental tendencies. But on realization of equanimity there
is 'desireless transcendental awareness 'nirvikalpavastha.' This
‘desireless transcendental awareness— nirvikalpa bodha—is the
illuminator of statelessness, as well as, of other states.

For a seeker to have experience of equanimity or eternal
unison, three yoga-ways have been expounded in the Gitéa—the
Path of Action, the Path of Knowledge and the Path of Devotion.
There is an inalienable relationship of the three bodies—the
gross, the subtle and the causal,—with the world. To, employ
these three, in the service of others—is the Path of Action. The
realization of one's identity and lodgement within one's own
self, after dissociating from these, it is the Path of Knowledge;
and surrendering one's self to God—is the Path of Devotion.
In order to accomplish these yogas, and attain one's salvation,
man is endowed, with three powers (i) power to act (strength),
(11) power to know (knowledge), and (ill) power to believe
(faith). The power to act is for rendering service to the world
selflessly—that is Karmayoga; the power to know, is meant for
Self realisation—that is Jnanayoga; and the power to believe, is
"
20,"Unfathomable and illimitable is the glory of Smad Bhagavad

Gita. This holy book, the Bhagavad Gita, is counted among the —
scriptural trio, the 'Prasthana Traya’. The three royal ways of
welfare of mankind, are known by the name of Prasthana Traya:
one is the ""Vedic Prasthana’ called the Upanisad; the second is
| metaphysical or Philosophical Prasthana’ called the Brahma Sitra;
and the third is, 'Smarta Prasthana', called the Bhagavad Gita.
_ There are ‘Mantras’ (mystical rubrics), in the Upanisads., 'siitras’
(aphorisms) in the Brahma Sitra and ‘slokas' (verses), in the
Bhagavad Gita. Though the Bhagavad Gita has only Slokas', yet
these being the very voice of God, are verily mantras. Pregnant,
as the Slokas are with meaning and import of great profundity,
| these can be called ‘sutras’ also. The Upanisads are of use and
value for the deserving only, and the Brahma Siitras, are of
use and importance for men of erudition and learning, but the

Bhagavad Gita is for, one and all. |

The Bhagavad Gita is a most unusual and many facetted
scripture. It contains highly useful and detailed material for a
seeker, be he of any country, costume, community, disposition,
creed, ‘varna’ or any ‘asrama’' (station), in life. It is so, because
_ there is in it, neither denunciation nor praise of any creed or
denomination, in particular; instead it deals with the essence of
pure Reality only. Pure Reality (the Supreme Lord or Paramatma),
as that which is wholly beyond change in Nature and the nature-.
born things and is ever-eternally immutable and uniform, in the
midst of the flux in space, time, things, being, circumstance etc.
Real 'Tattva’, (essence), is ever-present in its perfect form, in
each man, wherever and however, he is. But that is not realized
"
21,"X SRIMADBHAGAVADGITA
because of attachment and aversion—raga and dvesa—born of
the changeable nature of things in a person. Only on achieving
complete freedom from attachment and aversion, it is automatically
realized and with ease. |
The teachings of Bhagavad Gita are singularly divine.
: Numerous commentaries have been written on it and several more
are being written, yet new and fresh ideas continue to surge,
| in the hearts and minds of saints, seers and sages, of wisdom.
However much thought may be given to this. profound Song
Celestial, the meaning and deeper implications thereof, none can
fathom in their entirety. The deeper they delve into it, the more
profound the meanings are to be found, therein. When the range
of the finer emotions of a learned person is not easily judged
how can then the magnitude of emotions encased in the words of
God, whose forms and names are infinite, be ever assumed?
There is such a uniqueness in this small-sized work, that
a real seeker of one's salvation (Kalyana) irrespective of varna,
asrama, nationality, creed, belief etc., is at once attracted by
the mere study of this treatise. If a man reads and grasps, even
a little, from this sacred book, several satisfying disciplines or
ways, become available to him for his life's fulfilment. Different _
authorities exist for the study of respective systems of philosophy,
but the unique significance of the Gita, is that all the seekers of
salvation are eligible for its study. | |
In explaining different disciplines (sadhana), and in
communicating the meanings in detail, no hesitaion was felt in
repeating matters about each discipline in the Bhagavad Gita,
and yet its size has not increased unduly. No single holy book
of wisdom exists, which expounds the full import of Reality with
| such. precision and prolification. A man with intense yearning for
- his ‘kalyana’ (goal) can realize Godhead, the Supreme Truth, in
"
